Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
436147,434957,2,15/08/2019,3,1,1,1,11,2,3,2,6
436147,434957,2,15/08/2019,3,1,1,1,11,2,3,1,9
436147,434957,2,15/08/2019,3,1,1,1,11,2,3,2,39
436147,434957,2,15/08/2019,3,1,1,1,11,2,3,1,5
436147,434957,2,15/08/2019,3,1,1,1,11,2,3,2,8
436147,434957,2,15/08/2019,3,1,1,1,11,2,3,2,48
436147,434957,2,15/08/2019,3,1,1,1,11,2,3,2,57
435904,425850,2,01/01/2019,3,1,1,1,1,1,3,1,54
423194,438111,1,01/01/2019,6,1,1,1,9,3,3,2,3
429149,431736,2,01/01/2019,6,1,4,1,1,1,2,1,45
428760,432723,2,02/01/2019,3,1,1,1,1,1,2,1,44
431451,435823,1,02/01/2019,6,1,4,1,9,3,3,1,16
427555,433891,2,03/01/2019,6,1,1,1,9,1,3,2,38
420066,445481,2,03/01/2019,6,1,1,1,5,1,2,1,35
420066,445481,2,03/01/2019,6,1,1,1,5,2,3,2,37
427140,437363,3,03/01/2019,3,1,1,1,19,1,3,1,28
427140,437363,3,03/01/2019,3,1,1,1,19,2,3,1,32
427140,437363,3,03/01/2019,3,1,1,1,9,1,3,2,46
430783,438603,2,04/01/2019,6,1,1,1,9,1,3,1,69
430783,438603,2,04/01/2019,6,1,1,1,9,2,3,2,69
420015,445436,2,04/01/2019,3,1,4,1,3,1,2,1,20
432347,430836,2,07/01/2019,6,1,6,1,1,1,3,1,25
422786,434721,1,07/01/2019,4,1,1,1,9,3,3,2,23
434118,445048,2,07/01/2019,6,2,1,5,9,2,3,2,53
425491,432085,1,07/01/2019,6,9,1,9,8,2,2,2,28
430549,432911,1,07/01/2019,6,1,4,1,9,3,2,2,21
429558,431566,2,08/01/2019,6,1,1,1,1,1,3,1,32
427216,444133,1,08/01/2019,6,1,1,1,9,1,3,2,58
430787,433346,2,08/01/2019,3,1,1,1,8,1,3,1,32
430787,433346,2,08/01/2019,3,1,1,1,8,2,3,1,28
430787,433346,2,08/01/2019,3,1,1,1,9,1,3,2,39
430398,433300,2,08/01/2019,6,1,1,1,11,2,3,2,79
428128,432795,1,08/01/2019,4,1,4,1,9,3,3,1,58
429858,432972,2,09/01/2019,6,1,4,1,1,1,3,1,39
426664,431789,2,09/01/2019,3,1,4,1,9,1,3,1,29
435931,436473,2,10/01/2019,3,1,1,1,9,1,3,2,29
435931,436473,2,10/01/2019,3,1,1,1,9,2,3,2,23
431468,432543,2,10/01/2019,3,1,1,1,9,2,3,2,21
431468,432543,2,10/01/2019,3,1,1,1,9,1,3,2,39
418989,444837,2,10/01/2019,3,2,1,1,1,1,2,2,20
419724,437029,2,10/01/2019,6,1,4,1,1,1,2,1,43
429705,431847,2,11/01/2019,6,1,4,1,9,1,3,2,73
429392,431357,2,11/01/2019,6,1,4,1,2,1,2,1,17
431234,435814,2,12/01/2019,6,1,1,1,9,1,3,2,32
430836,435427,2,12/01/2019,6,1,4,1,9,1,3,2,23
430836,435427,2,12/01/2019,6,1,4,1,9,2,3,2,20
428934,429852,2,12/01/2019,3,1,4,1,9,2,3,2,36
428934,429852,2,12/01/2019,3,1,4,1,9,1,3,1,45
424551,433074,2,13/01/2019,6,2,1,1,1,1,2,2,37
428628,433188,2,13/01/2019,3,1,4,1,9,1,3,1,38
420559,437109,2,14/01/2019,3,2,1,1,9,1,3,2,40
420559,437109,2,14/01/2019,3,2,1,1,9,1,3,2,47
422203,433911,1,16/01/2019,4,1,1,1,9,3,3,2,67
430480,433823,1,14/01/2019,6,1,4,1,9,3,2,1,34
419782,434064,2,14/01/2019,3,1,4,1,9,1,3,1,26
431120,430172,1,14/01/2019,6,1,4,1,8,2,3,2,23
429482,431195,1,16/01/2019,6,2,1,1,9,3,3,2,10
431908,437322,3,15/01/2019,6,1,1,1,9,1,3,2,27
431908,437322,3,15/01/2019,6,1,1,1,9,1,3,2,64
428513,433058,2,15/01/2019,4,1,1,1,9,1,3,2,29
431131,431414,2,15/01/2019,6,1,4,1,9,1,2,1,35
431131,431414,2,15/01/2019,6,1,4,1,9,1,2,1,72
431131,431414,2,15/01/2019,6,1,4,1,9,2,2,2,73
